day_of_week,hour,raw_trips,raw_tips,raw_fares,raw_tip_ratio,strict_trips,strict_tips,strict_fares,strict_tip_ratio,evasion_gap,evasion_rate_pct
0,0,11325,33657.9,282709.27,0.11905481557078054,5075,31342.15,150805.03,0.20783225864548419,6250,55.18763796909493
0,1,6247,20486.28,171260.54,0.11962055006950228,2681,19015.27,91293.39,0.2082874784253274,3566,57.08340003201536
0,2,3435,9504.11,86984.59,0.10926199686634151,1326,8724.23,40533.99,0.2152324505927001,2109,61.39737991266375
0,3,2515,5203.42,63846.14,0.0814993670721519,824,4222.02,23879.67,0.17680395080836547,1691,67.2365805168986
0,4,3529,9232.38,111673.9,0.0826726746357027,1180,6555.71,43656.27,0.15016651674547551,2349,66.56276565599319
0,5,6064,14206.43,180147.36,0.07886005101601268,2647,10308.41,85449.42,0.1206375654744058,3417,56.348944591029024
0,6,12676,25977.34,334832.21,0.0775831572476256,5946,20983.4,156152.98,0.13437719856515065,6730,53.09245818870306
0,7,22868,52796.44,565644.95,0.09333848026045315,12235,45098.11,266143.62,0.1694502765086009,10633,46.49728878782578
0,8,29408,71147.19,679059.63,0.10477311101530215,16406,61397.91,337079.07,0.18214690695568847,13002,44.21245919477693
0,9,30641,81217.99,644631.42,0.12599136107886272,19107,73392.29,389897.73,0.18823471990975685,11534,37.64237459612937
0,10,30808,90489.73,656820.12,0.1377694246028882,20265,83544.97,431150.82,0.19377203086381697,10543,34.221630745260974
0,11,32695,99629.94,706890.01,0.14094121941262122,21454,92105.42,460085.82,0.20019182508167715,11241,34.38140388438599
0,12,34529,106333.83,750241.85,0.14173273591709126,22844,97904.98,493256.81,0.198486828798167,11685,33.84111905934142
0,13,35700,116372.36,788153.74,0.1476518527971459,23818,106756.85,522583.31,0.204286757646355,11882,33.28291316526611
0,14,38234,128951.15,868451.33,0.14848402615722864,25702,119747.78,581201.08,0.206035026638285,12532,32.777109379086674
0,15,41317,134610.68,942164.23,0.14287390214336623,27039,123704.11,603837.28,0.2048633201315427,14278,34.55720405644166
0,16,41332,144252.11,947360.52,0.1522673860211105,27262,133196.71,607849.08,0.21912792892604196,14070,34.04142069099003
0,17,44672,146667.09,994839.44,0.14742790052634022,29038,135719.73,604369.48,0.224564168925274,15634,34.99731375358166
