Hour,Base_Evasion_Rate,Simulated_Evasion_Rate,Evasion_Contagion_Delta
0,90.0,95.0,5.0
1,90.0,95.0,5.0
2,90.0,95.0,5.0
3,80.0,93.2,13.200000000000003
4,60.0,69.89999999999999,9.899999999999991
5,30.000000000000004,34.95000000000001,4.950000000000006
6,19.999999999999996,23.299999999999997,3.3000000000000007
7,15.000000000000002,17.475000000000005,2.475000000000003
8,9.999999999999998,11.649999999999999,1.6500000000000004
9,15.000000000000002,17.475000000000005,2.475000000000003
10,19.999999999999996,23.299999999999997,3.3000000000000007
11,25.0,29.125,4.125
12,30.000000000000004,34.95000000000001,4.950000000000006
13,30.000000000000004,34.95000000000001,4.950000000000006
14,25.0,29.125,4.125
15,19.999999999999996,23.299999999999997,3.3000000000000007
16,15.000000000000002,17.475000000000005,2.475000000000003
17,15.000000000000002,17.475000000000005,2.475000000000003
18,30.000000000000004,34.95000000000001,4.950000000000006
19,50.0,58.25,8.25
20,70.0,81.55,11.549999999999997
21,80.0,93.2,13.200000000000003
22,90.0,95.0,5.0
23,90.0,95.0,5.0
